,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,density,pH,sulphates,alcohol,quality,tow,best_quality
811,12.9,0.5,0.55,2.8,0.072,7.0,1.00012,3.09,0.68,10.9,6,0,1
812,10.8,0.45,0.33,2.5,0.099,20.0,0.99818,3.24,0.71,10.8,5,0,0
813,6.9,0.39,0.24,2.1,0.102,4.0,0.99462,3.44,0.58,11.4,4,0,0
814,12.6,0.41,0.54,2.8,0.103,19.0,0.99939,3.21,0.76,11.3,6,0,1
815,10.8,0.45,0.33,2.5,0.099,20.0,0.99818,3.24,0.71,10.8,5,0,0
816,9.8,0.51,0.19,3.2,0.081,8.0,0.9984,3.23,0.58,10.5,6,0,1
817,10.8,0.29,0.42,1.6,0.084,19.0,0.99545,3.28,0.73,11.9,6,0,1
818,7.1,0.715,0.0,2.35,0.071,21.0,0.99632,3.29,0.45,9.4,5,0,0
819,9.1,0.66,0.15,3.2,0.097,9.0,0.99976,3.28,0.54,9.6,5,0,0
820,7.0,0.685,0.0,1.9,0.099,9.0,0.99606,3.34,0.6,9.7,5,0,0
821,4.9,0.42,0.0,2.1,0.048,16.0,0.99154,3.71,0.74,14.0,7,0,1
822,6.7,0.54,0.13,2.0,0.076,15.0,0.9973,3.61,0.64,9.8,5,0,0
823,6.7,0.54,0.13,2.0,0.076,15.0,0.9973,3.61,0.64,9.8,5,0,0
824,7.1,0.48,0.28,2.8,0.068,6.0,0.99682,3.24,0.53,10.3,5,0,0
825,7.1,0.46,0.14,2.8,0.076,15.0,0.99624,3.36,0.49,10.7,5,0,0
826,7.5,0.27,0.34,2.3,0.05,4.0,0.9951,3.4,0.64,11.0,7,0,1
827,7.1,0.46,0.14,2.8,0.076,15.0,0.99624,3.36,0.49,10.7,5,0,0
828,7.8,0.57,0.09,2.3,0.065,34.0,0.99417,3.46,0.74,12.7,8,0,1
829,5.9,0.61,0.08,2.1,0.071,16.0,0.99376,3.56,0.77,11.1,6,0,1
830,7.5,0.685,0.07,2.5,0.058,5.0,0.99632,3.38,0.55,10.9,4,0,0
831,5.9,0.61,0.08,2.1,0.071,16.0,0.99376,3.56,0.77,11.1,6,0,1
832,10.4,0.44,0.42,1.5,0.145,34.0,0.99832,3.38,0.86,9.9,3,0,0
833,11.6,0.47,0.44,1.6,0.147,36.0,0.99836,3.38,0.86,9.9,4,0,0
834,8.8,0.685,0.26,1.6,0.088,16.0,0.99694,3.32,0.47,9.4,5,0,0
835,7.6,0.665,0.1,1.5,0.066,27.0,0.99655,3.39,0.51,9.3,5,0,0
836,6.7,0.28,0.28,2.4,0.012,36.0,0.99064,3.26,0.39,11.7,7,0,1
837,6.7,0.28,0.28,2.4,0.012,36.0,0.99064,3.26,0.39,11.7,7,0,1
838,10.1,0.31,0.35,1.6,0.075,9.0,0.99672,3.24,0.83,11.2,7,0,1
839,6.0,0.5,0.04,2.2,0.092,13.0,0.99647,3.46,0.47,10.0,5,0,0
840,11.1,0.42,0.47,2.65,0.085,9.0,0.99736,3.24,0.77,12.1,7,0,1
841,6.6,0.66,0.0,3.0,0.115,21.0,0.99629,3.45,0.63,10.3,5,0,0
842,10.6,0.5,0.45,2.6,0.119,34.0,0.99708,3.23,0.72,10.9,6,0,1
843,7.1,0.685,0.35,2.0,0.088,9.0,0.9963,3.28,0.62,9.4,5,0,0
844,9.9,0.25,0.46,1.7,0.062,26.0,0.9959,3.18,0.83,10.6,6,0,1
845,6.4,0.64,0.21,1.8,0.081,14.0,0.99689,3.59,0.66,9.8,5,0,0
846,6.4,0.64,0.21,1.8,0.081,14.0,0.99689,3.59,0.66,9.8,5,0,0
847,7.4,0.68,0.16,1.8,0.078,12.0,0.9977,3.5,0.7,9.9,6,0,1
848,6.4,0.64,0.21,1.8,0.081,14.0,0.99689,3.59,0.66,9.8,5,0,0
849,6.4,0.63,0.21,1.6,0.08,12.0,0.99689,3.58,0.66,9.8,5,0,0
850,9.3,0.43,0.44,1.9,0.085,9.0,0.99708,3.28,0.55,9.5,5,0,0
851,9.3,0.43,0.44,1.9,0.085,9.0,0.99708,3.28,0.55,9.5,5,0,0
852,8.0,0.42,0.32,2.5,0.08,26.0,0.99801,3.22,1.07,9.7,5,0,0
853,9.3,0.36,0.39,1.5,0.08,41.0,0.99652,3.47,0.73,10.9,6,0,1
854,9.3,0.36,0.39,1.5,0.08,41.0,0.99652,3.47,0.73,10.9,6,0,1
855,7.6,0.735,0.02,2.5,0.071,10.0,0.99538,3.51,0.71,11.7,7,0,1
856,9.3,0.36,0.39,1.5,0.08,41.0,0.99652,3.47,0.73,10.9,6,0,1
857,8.2,0.26,0.34,2.5,0.073,16.0,0.99594,3.4,0.78,11.3,7,0,1
858,11.7,0.28,0.47,1.7,0.054,17.0,0.99686,3.15,0.67,10.6,7,0,1
859,6.8,0.56,0.22,1.8,0.074,15.0,0.99438,3.4,0.82,11.2,6,0,1
860,7.2,0.62,0.06,2.7,0.077,15.0,0.99746,3.51,0.54,9.5,5,0,0
861,5.8,1.01,0.66,2.0,0.039,15.0,0.99357,3.66,0.6,11.5,6,0,1
862,7.5,0.42,0.32,2.7,0.067,7.0,0.99628,3.24,0.44,10.4,5,0,0
863,7.2,0.62,0.06,2.5,0.078,17.0,0.99746,3.51,0.53,9.7,5,0,0
864,7.2,0.62,0.06,2.7,0.077,15.0,0.99746,3.51,0.54,9.5,5,0,0
865,7.2,0.635,0.07,2.6,0.077,16.0,0.99748,3.51,0.54,9.7,5,0,0
866,6.8,0.49,0.22,2.3,0.071,13.0,0.99438,3.41,0.83,11.3,6,0,1
867,6.9,0.51,0.23,2.0,0.072,13.0,0.99438,3.4,0.84,11.2,6,0,1
868,6.8,0.56,0.22,1.8,0.074,15.0,0.99438,3.4,0.82,11.2,6,0,1
869,7.6,0.63,0.03,2.0,0.08,27.0,0.99578,3.44,0.64,10.9,6,0,1
870,7.7,0.715,0.01,2.1,0.064,31.0,0.99371,3.41,0.57,11.8,6,0,1
871,6.9,0.56,0.03,1.5,0.086,36.0,0.99522,3.53,0.57,10.6,5,0,0
872,7.3,0.35,0.24,2.0,0.067,28.0,0.99576,3.43,0.54,10.0,4,0,0
873,9.1,0.21,0.37,1.6,0.067,6.0,0.99552,3.23,0.58,11.1,7,0,1
874,10.4,0.38,0.46,2.1,0.104,6.0,0.99664,3.12,0.65,11.8,7,0,1
875,8.8,0.31,0.4,2.8,0.109,7.0,0.99614,3.31,0.79,11.8,7,0,1
876,7.1,0.47,0.0,2.2,0.067,7.0,0.99517,3.4,0.58,10.9,4,0,0
877,7.7,0.715,0.01,2.1,0.064,31.0,0.99371,3.41,0.57,11.8,6,0,1
878,8.8,0.61,0.19,4.0,0.094,30.0,0.99787,3.22,0.5,10.0,6,0,1
879,7.2,0.6,0.04,2.5,0.076,18.0,0.99745,3.53,0.55,9.5,5,0,0
880,9.2,0.56,0.18,1.6,0.078,10.0,0.99576,3.15,0.49,9.9,5,0,0
881,7.6,0.715,0.0,2.1,0.068,30.0,0.99533,3.48,0.65,11.4,6,0,1
882,8.4,0.31,0.29,3.1,0.194,14.0,0.99536,3.22,0.78,12.0,6,0,1
883,7.2,0.6,0.04,2.5,0.076,18.0,0.99745,3.53,0.55,9.5,5,0,0
884,8.8,0.61,0.19,4.0,0.094,30.0,0.99787,3.22,0.5,10.0,6,0,1
885,8.9,0.75,0.14,2.5,0.086,9.0,0.99824,3.34,0.64,10.5,5,0,0
886,9.0,0.8,0.12,2.4,0.083,8.0,0.99836,3.33,0.65,10.4,6,0,1
887,10.7,0.52,0.38,2.6,0.066,29.0,0.99577,3.15,0.79,12.1,7,0,1
888,6.8,0.57,0.0,2.5,0.072,32.0,0.99491,3.43,0.56,11.2,6,0,1
889,10.7,0.9,0.34,6.6,0.112,23.0,1.00289,3.22,0.68,9.3,5,0,0
890,7.2,0.34,0.24,2.0,0.071,30.0,0.99576,3.44,0.58,10.1,5,0,0
891,7.2,0.66,0.03,2.3,0.078,16.0,0.99743,3.53,0.57,9.7,5,0,0
892,10.1,0.45,0.23,1.9,0.082,10.0,0.99774,3.22,0.65,9.3,6,0,1
893,7.2,0.66,0.03,2.3,0.078,16.0,0.99743,3.53,0.57,9.7,5,0,0
894,7.2,0.63,0.03,2.2,0.08,17.0,0.99745,3.53,0.58,9.8,6,0,1
895,7.1,0.59,0.01,2.3,0.08,27.0,0.9955,3.42,0.58,10.7,6,0,1
896,8.3,0.31,0.39,2.4,0.078,17.0,0.99444,3.31,0.77,12.5,7,0,1
897,7.1,0.59,0.01,2.3,0.08,27.0,0.9955,3.42,0.58,10.7,6,0,1
898,8.3,0.31,0.39,2.4,0.078,17.0,0.99444,3.31,0.77,12.5,7,0,1
899,8.3,1.02,0.02,3.4,0.084,6.0,0.99892,3.48,0.49,11.0,3,0,0
900,8.9,0.31,0.36,2.6,0.056,10.0,0.99562,3.4,0.69,11.8,5,0,0
901,7.4,0.635,0.1,2.4,0.08,16.0,0.99736,3.58,0.69,10.8,7,0,1
902,7.4,0.635,0.1,2.4,0.08,16.0,0.99736,3.58,0.69,10.8,7,0,1
903,6.8,0.59,0.06,6.0,0.06,11.0,0.9962,3.41,0.59,10.8,7,0,1
904,6.8,0.59,0.06,6.0,0.06,11.0,0.9962,3.41,0.59,10.8,7,0,1
905,9.2,0.58,0.2,3.0,0.081,15.0,0.998,3.23,0.59,9.5,5,0,0
906,7.2,0.54,0.27,2.6,0.084,12.0,0.9964,3.39,0.71,11.0,5,0,0
907,6.1,0.56,0.0,2.2,0.079,6.0,0.9948,3.59,0.54,11.5,6,0,1
908,7.4,0.52,0.13,2.4,0.078,34.0,0.99528,3.43,0.59,10.8,6,0,1
909,7.3,0.305,0.39,1.2,0.059,7.0,0.99331,3.29,0.52,11.5,6,0,1
910,9.3,0.38,0.48,3.8,0.132,3.0,0.99577,3.23,0.57,13.2,6,0,1
911,9.1,0.28,0.46,9.0,0.114,3.0,0.99901,3.18,0.6,10.9,6,0,1
912,10.0,0.46,0.44,2.9,0.065,4.0,0.99674,3.33,0.62,12.2,6,0,1
913,9.4,0.395,0.46,4.6,0.094,3.0,0.99639,3.27,0.64,12.2,7,0,1
914,7.3,0.305,0.39,1.2,0.059,7.0,0.99331,3.29,0.52,11.5,6,0,1
915,8.6,0.315,0.4,2.2,0.079,3.0,0.99512,3.27,0.67,11.9,6,0,1
916,5.3,0.715,0.19,1.5,0.161,7.0,0.99395,3.62,0.61,11.0,5,0,0
917,6.8,0.41,0.31,8.8,0.084,26.0,0.99824,3.38,0.64,10.1,6,0,1
918,8.4,0.36,0.32,2.2,0.081,32.0,0.9964,3.3,0.72,11.0,6,0,1
919,8.4,0.62,0.12,1.8,0.072,38.0,0.99504,3.38,0.89,11.8,6,0,1
920,9.6,0.41,0.37,2.3,0.091,10.0,0.99786,3.24,0.56,10.5,5,0,0
921,8.4,0.36,0.32,2.2,0.081,32.0,0.9964,3.3,0.72,11.0,6,0,1
922,8.4,0.62,0.12,1.8,0.072,38.0,0.99504,3.38,0.89,11.8,6,0,1
923,6.8,0.41,0.31,8.8,0.084,26.0,0.99824,3.38,0.64,10.1,6,0,1
924,8.6,0.47,0.27,2.3,0.055,14.0,0.99516,3.18,0.8,11.2,5,0,0
925,8.6,0.22,0.36,1.9,0.064,53.0,0.99604,3.47,0.87,11.0,7,0,1
926,9.4,0.24,0.33,2.3,0.061,52.0,0.99786,3.47,0.9,10.2,6,0,1
927,8.4,0.67,0.19,2.2,0.093,11.0,0.99736,3.2,0.59,9.2,4,0,0
928,8.6,0.47,0.27,2.3,0.055,14.0,0.99516,3.18,0.8,11.2,5,0,0
929,8.7,0.33,0.38,3.3,0.063,10.0,0.99468,3.3,0.73,12.0,7,0,1
930,6.6,0.61,0.01,1.9,0.08,8.0,0.99746,3.69,0.73,10.5,5,0,0
931,7.4,0.61,0.01,2.0,0.074,13.0,0.99748,3.48,0.65,9.8,5,0,0
932,7.6,0.4,0.29,1.9,0.078,29.0,0.9971,3.45,0.59,9.5,6,0,1
933,7.4,0.61,0.01,2.0,0.074,13.0,0.99748,3.48,0.65,9.8,5,0,0
934,6.6,0.61,0.01,1.9,0.08,8.0,0.99746,3.69,0.73,10.5,5,0,0
935,8.8,0.3,0.38,2.3,0.06,19.0,0.99543,3.39,0.72,11.8,6,0,1
936,8.8,0.3,0.38,2.3,0.06,19.0,0.99543,3.39,0.72,11.8,6,0,1
937,12.0,0.63,0.5,1.4,0.071,6.0,0.99791,3.07,0.6,10.4,4,0,0
938,7.2,0.38,0.38,2.8,0.068,23.0,0.99356,3.34,0.72,12.9,7,0,1
939,6.2,0.46,0.17,1.6,0.073,7.0,0.99425,3.61,0.54,11.4,5,0,0
940,9.6,0.33,0.52,2.2,0.074,13.0,0.99509,3.36,0.76,12.4,7,0,1
941,9.9,0.27,0.49,5.0,0.082,9.0,0.99484,3.19,0.52,12.5,7,0,1
942,10.1,0.43,0.4,2.6,0.092,13.0,0.99834,3.22,0.64,10.0,7,0,1
943,9.8,0.5,0.34,2.3,0.094,10.0,0.99864,3.24,0.6,9.7,7,0,1
944,8.3,0.3,0.49,3.8,0.09,11.0,0.99498,3.27,0.64,12.1,7,0,1
945,10.2,0.44,0.42,2.0,0.071,7.0,0.99566,3.14,0.79,11.1,7,0,1
946,10.2,0.44,0.58,4.1,0.092,11.0,0.99745,3.29,0.99,12.0,7,0,1
947,8.3,0.28,0.48,2.1,0.093,6.0,0.99408,3.26,0.62,12.4,7,0,1
948,8.9,0.12,0.45,1.8,0.075,10.0,0.99552,3.41,0.76,11.9,7,0,1
949,8.9,0.12,0.45,1.8,0.075,10.0,0.99552,3.41,0.76,11.9,7,0,1
950,8.9,0.12,0.45,1.8,0.075,10.0,0.99552,3.41,0.76,11.9,7,0,1
951,8.3,0.28,0.48,2.1,0.093,6.0,0.99408,3.26,0.62,12.4,7,0,1
952,8.2,0.31,0.4,2.2,0.058,6.0,0.99536,3.31,0.68,11.2,7,0,1
953,10.2,0.34,0.48,2.1,0.052,5.0,0.99458,3.2,0.69,12.1,7,0,1
954,7.6,0.43,0.4,2.7,0.082,6.0,0.99538,3.44,0.54,12.2,6,0,1
955,8.5,0.21,0.52,1.9,0.09,9.0,0.99648,3.36,0.67,10.4,5,0,0
956,9.0,0.36,0.52,2.1,0.111,5.0,0.99568,3.31,0.62,11.3,6,0,1
957,9.5,0.37,0.52,2.0,0.088,12.0,0.99613,3.29,0.58,11.1,6,0,1
958,6.4,0.57,0.12,2.3,0.12,25.0,0.99519,3.47,0.71,11.3,7,0,1
959,8.0,0.59,0.05,2.0,0.089,12.0,0.99735,3.36,0.61,10.0,5,0,0
960,8.5,0.47,0.27,1.9,0.058,18.0,0.99518,3.16,0.85,11.1,6,0,1
961,7.1,0.56,0.14,1.6,0.078,7.0,0.99592,3.27,0.62,9.3,5,0,0
962,6.6,0.57,0.02,2.1,0.115,6.0,0.99654,3.38,0.69,9.5,5,0,0
963,8.8,0.27,0.39,2.0,0.1,20.0,0.99546,3.15,0.69,11.2,6,0,1
964,8.5,0.47,0.27,1.9,0.058,18.0,0.99518,3.16,0.85,11.1,6,0,1
965,8.3,0.34,0.4,2.4,0.065,24.0,0.99554,3.34,0.86,11.0,6,0,1
966,9.0,0.38,0.41,2.4,0.103,6.0,0.99604,3.13,0.58,11.9,7,0,1
967,8.5,0.66,0.2,2.1,0.097,23.0,0.99733,3.13,0.48,9.2,5,0,0
968,9.0,0.4,0.43,2.4,0.068,29.0,0.9943,3.2,0.6,12.2,6,0,1
969,6.7,0.56,0.09,2.9,0.079,7.0,0.99669,3.46,0.61,10.2,5,0,0
970,10.4,0.26,0.48,1.9,0.066,6.0,0.99724,3.33,0.87,10.9,6,0,1
971,10.4,0.26,0.48,1.9,0.066,6.0,0.99724,3.33,0.87,10.9,6,0,1
972,10.1,0.38,0.5,2.4,0.104,6.0,0.99643,3.22,0.65,11.6,7,0,1
973,8.5,0.34,0.44,1.7,0.079,6.0,0.99605,3.52,0.63,10.7,5,0,0
974,8.8,0.33,0.41,5.9,0.073,7.0,0.99658,3.3,0.62,12.1,7,0,1
975,7.2,0.41,0.3,2.1,0.083,35.0,0.997,3.44,0.52,9.4,5,0,0
976,7.2,0.41,0.3,2.1,0.083,35.0,0.997,3.44,0.52,9.4,5,0,0
977,8.4,0.59,0.29,2.6,0.109,31.0,0.99801,3.15,0.5,9.1,5,0,0
978,7.0,0.4,0.32,3.6,0.061,9.0,0.99416,3.28,0.49,11.3,7,0,1
979,12.2,0.45,0.49,1.4,0.075,3.0,0.9969,3.13,0.63,10.4,5,0,0
980,9.1,0.5,0.3,1.9,0.065,8.0,0.99774,3.32,0.71,10.5,6,0,1
981,9.5,0.86,0.26,1.9,0.079,13.0,0.99712,3.25,0.62,10.0,5,0,0
982,7.3,0.52,0.32,2.1,0.07,51.0,0.99418,3.34,0.82,12.9,6,0,1
983,9.1,0.5,0.3,1.9,0.065,8.0,0.99774,3.32,0.71,10.5,6,0,1
984,12.2,0.45,0.49,1.4,0.075,3.0,0.9969,3.13,0.63,10.4,5,0,0
985,7.4,0.58,0.0,2.0,0.064,7.0,0.99562,3.45,0.58,11.3,6,0,1
986,9.8,0.34,0.39,1.4,0.066,3.0,0.9947,3.19,0.55,11.4,7,0,1
987,7.1,0.36,0.3,1.6,0.08,35.0,0.99693,3.44,0.5,9.4,5,0,0
988,7.7,0.39,0.12,1.7,0.097,19.0,0.99596,3.16,0.49,9.4,5,0,0
989,9.7,0.295,0.4,1.5,0.073,14.0,0.99556,3.14,0.51,10.9,6,0,1
990,7.7,0.39,0.12,1.7,0.097,19.0,0.99596,3.16,0.49,9.4,5,0,0
991,7.1,0.34,0.28,2.0,0.082,31.0,0.99694,3.45,0.48,9.4,5,0,0
992,6.5,0.4,0.1,2.0,0.076,30.0,0.99554,3.36,0.48,9.4,6,0,1
993,7.1,0.34,0.28,2.0,0.082,31.0,0.99694,3.45,0.48,9.4,5,0,0
994,10.0,0.35,0.45,2.5,0.092,20.0,0.99918,3.15,0.43,9.4,5,0,0
995,7.7,0.6,0.06,2.0,0.079,19.0,0.99697,3.39,0.62,10.1,6,0,1
996,5.6,0.66,0.0,2.2,0.087,3.0,0.99378,3.71,0.63,12.8,7,0,1
997,5.6,0.66,0.0,2.2,0.087,3.0,0.99378,3.71,0.63,12.8,7,0,1
998,8.9,0.84,0.34,1.4,0.05,4.0,0.99554,3.12,0.48,9.1,6,0,1
999,6.4,0.69,0.0,1.65,0.055,7.0,0.99162,3.47,0.53,12.9,6,0,1
1000,7.5,0.43,0.3,2.2,0.062,6.0,0.99495,3.44,0.72,11.5,7,0,1
1001,9.9,0.35,0.38,1.5,0.058,31.0,0.99676,3.26,0.82,10.6,7,0,1
1002,9.1,0.29,0.33,2.05,0.063,13.0,0.99516,3.26,0.84,11.7,7,0,1
1003,6.8,0.36,0.32,1.8,0.067,4.0,0.9928,3.36,0.55,12.8,7,0,1
1004,8.2,0.43,0.29,1.6,0.081,27.0,0.99603,3.25,0.54,10.3,5,0,0
1005,6.8,0.36,0.32,1.8,0.067,4.0,0.9928,3.36,0.55,12.8,7,0,1
1006,9.1,0.29,0.33,2.05,0.063,13.0,0.99516,3.26,0.84,11.7,7,0,1
1007,9.1,0.3,0.34,2.0,0.064,12.0,0.99516,3.26,0.84,11.7,7,0,1
1008,8.9,0.35,0.4,3.6,0.11,12.0,0.99549,3.23,0.7,12.0,7,0,1
1009,9.6,0.5,0.36,2.8,0.116,26.0,0.99722,3.18,0.68,10.9,5,0,0
1010,8.9,0.28,0.45,1.7,0.067,7.0,0.99354,3.25,0.55,12.3,7,0,1
1011,8.9,0.32,0.31,2.0,0.088,12.0,0.9957,3.17,0.55,10.4,6,0,1
1012,7.7,1.005,0.15,2.1,0.102,11.0,0.99604,3.23,0.48,10.0,5,0,0
1013,7.5,0.71,0.0,1.6,0.092,22.0,0.99635,3.38,0.58,10.0,6,0,1
1014,8.0,0.58,0.16,2.0,0.12,3.0,0.99454,3.22,0.58,11.2,6,0,1
1015,10.5,0.39,0.46,2.2,0.075,14.0,0.99598,3.06,0.84,11.4,6,0,1
1016,8.9,0.38,0.4,2.2,0.068,12.0,0.99486,3.27,0.75,12.6,7,0,1
1017,8.0,0.18,0.37,0.9,0.049,36.0,0.99007,2.89,0.44,12.7,6,0,1
1018,8.0,0.18,0.37,0.9,0.049,36.0,0.99007,2.89,0.44,12.7,6,0,1
1019,7.0,0.5,0.14,1.8,0.078,10.0,0.99636,3.53,0.61,10.4,5,0,0
1020,11.3,0.36,0.66,2.4,0.123,3.0,0.99642,3.2,0.53,11.9,6,0,1
1021,11.3,0.36,0.66,2.4,0.123,3.0,0.99642,3.2,0.53,11.9,6,0,1
1022,7.0,0.51,0.09,2.1,0.062,4.0,0.99584,3.35,0.54,10.5,5,0,0
1023,8.2,0.32,0.42,2.3,0.098,3.0,0.99506,3.27,0.55,12.3,6,0,1
1024,7.7,0.58,0.01,1.8,0.088,12.0,0.99568,3.32,0.56,10.5,7,0,1
1025,8.6,0.83,0.0,2.8,0.095,17.0,0.99822,3.33,0.6,10.4,6,0,1
1026,7.9,0.31,0.32,1.9,0.066,14.0,0.99364,3.41,0.56,12.6,6,0,1
1027,6.4,0.795,0.0,2.2,0.065,28.0,0.99378,3.49,0.52,11.6,5,0,0
1028,7.2,0.34,0.21,2.5,0.075,41.0,0.99586,3.37,0.54,10.1,6,0,1
1029,7.7,0.58,0.01,1.8,0.088,12.0,0.99568,3.32,0.56,10.5,7,0,1
1030,7.1,0.59,0.0,2.1,0.091,9.0,0.99488,3.42,0.55,11.5,7,0,1
1031,7.3,0.55,0.01,1.8,0.093,9.0,0.99514,3.35,0.58,11.0,7,0,1
1032,8.1,0.82,0.0,4.1,0.095,5.0,0.99854,3.36,0.53,9.6,5,0,0
1033,7.5,0.57,0.08,2.6,0.089,14.0,0.99592,3.3,0.59,10.4,6,0,1
1034,8.9,0.745,0.18,2.5,0.077,15.0,0.99739,3.2,0.47,9.7,6,0,1
1035,10.1,0.37,0.34,2.4,0.085,5.0,0.99683,3.17,0.65,10.6,7,0,1
1036,7.6,0.31,0.34,2.5,0.082,26.0,0.99356,3.22,0.59,12.5,7,0,1
1037,7.3,0.91,0.1,1.8,0.074,20.0,0.99672,3.35,0.56,9.2,5,0,0
1038,8.7,0.41,0.41,6.2,0.078,25.0,0.9953,3.24,0.77,12.6,7,0,1
1039,8.9,0.5,0.21,2.2,0.088,21.0,0.99692,3.33,0.83,11.1,6,0,1
1040,7.4,0.965,0.0,2.2,0.088,16.0,0.99756,3.58,0.67,10.2,5,0,0
1041,6.9,0.49,0.19,1.7,0.079,13.0,0.99547,3.38,0.64,9.8,6,0,1
1042,8.9,0.5,0.21,2.2,0.088,21.0,0.99692,3.33,0.83,11.1,6,0,1
1043,9.5,0.39,0.41,8.9,0.069,18.0,0.99859,3.29,0.81,10.9,7,0,1
1044,6.4,0.39,0.33,3.3,0.046,12.0,0.99294,3.36,0.62,12.2,6,0,1
1045,6.9,0.44,0.0,1.4,0.07,32.0,0.99438,3.32,0.58,11.4,6,0,1
1046,7.6,0.78,0.0,1.7,0.076,33.0,0.99612,3.31,0.62,10.7,6,0,1
1047,7.1,0.43,0.17,1.8,0.082,27.0,0.99634,3.49,0.64,10.4,5,0,0
1048,9.3,0.49,0.36,1.7,0.081,3.0,0.99702,3.27,0.78,10.9,6,0,1
1049,9.3,0.5,0.36,1.8,0.084,6.0,0.99704,3.27,0.77,10.8,6,0,1
1050,7.1,0.43,0.17,1.8,0.082,27.0,0.99634,3.49,0.64,10.4,5,0,0
1051,8.5,0.46,0.59,1.4,0.414,16.0,0.99702,3.03,1.34,9.2,5,0,0
1052,5.6,0.605,0.05,2.4,0.073,19.0,0.99258,3.56,0.55,12.9,5,0,0
1053,8.3,0.33,0.42,2.3,0.07,9.0,0.99426,3.38,0.77,12.7,7,0,1
1054,8.2,0.64,0.27,2.0,0.095,5.0,0.99747,3.13,0.62,9.1,6,0,1
1055,8.2,0.64,0.27,2.0,0.095,5.0,0.99747,3.13,0.62,9.1,6,0,1
1056,8.9,0.48,0.53,4.0,0.101,3.0,0.99586,3.21,0.59,12.1,7,0,1
1057,7.6,0.42,0.25,3.9,0.104,28.0,0.99784,3.15,0.57,9.1,5,0,0
1058,9.9,0.53,0.57,2.4,0.093,30.0,0.9971,3.19,0.76,11.6,7,0,1
1059,8.9,0.48,0.53,4.0,0.101,3.0,0.99586,3.21,0.59,12.1,7,0,1
1060,11.6,0.23,0.57,1.8,0.074,3.0,0.9981,3.14,0.7,9.9,6,0,1
1061,9.1,0.4,0.5,1.8,0.071,7.0,0.99462,3.21,0.69,12.5,8,0,1
1062,8.0,0.38,0.44,1.9,0.098,6.0,0.9956,3.3,0.64,11.4,6,0,1
1063,10.2,0.29,0.65,2.4,0.075,6.0,0.99565,3.22,0.63,11.8,6,0,1
1064,8.2,0.74,0.09,2.0,0.067,5.0,0.99418,3.28,0.57,11.8,6,0,1
1065,7.7,0.61,0.18,2.4,0.083,6.0,0.9963,3.29,0.6,10.2,6,0,1
1066,6.6,0.52,0.08,2.4,0.07,13.0,0.99358,3.4,0.72,12.5,7,0,1
1067,11.1,0.31,0.53,2.2,0.06,3.0,0.99572,3.02,0.83,10.9,7,0,1
1068,11.1,0.31,0.53,2.2,0.06,3.0,0.99572,3.02,0.83,10.9,7,0,1
1069,8.0,0.62,0.35,2.8,0.086,28.0,0.997,3.31,0.62,10.8,5,0,0
1070,9.3,0.33,0.45,1.5,0.057,19.0,0.99498,3.18,0.89,11.1,7,0,1
1071,7.5,0.77,0.2,8.1,0.098,30.0,0.99892,3.2,0.58,9.2,5,0,0
1072,7.2,0.35,0.26,1.8,0.083,33.0,0.9968,3.4,0.58,9.5,6,0,1
1073,8.0,0.62,0.33,2.7,0.088,16.0,0.9972,3.31,0.58,10.7,6,0,1
1074,7.5,0.77,0.2,8.1,0.098,30.0,0.99892,3.2,0.58,9.2,5,0,0
1075,9.1,0.25,0.34,2.0,0.071,45.0,0.99769,3.44,0.86,10.2,7,0,1
1076,9.9,0.32,0.56,2.0,0.073,3.0,0.99534,3.15,0.73,11.4,6,0,1
1077,8.6,0.37,0.65,6.4,0.08,3.0,0.99817,3.27,0.58,11.0,5,0,0
1078,8.6,0.37,0.65,6.4,0.08,3.0,0.99817,3.27,0.58,11.0,5,0,0
1079,7.9,0.3,0.68,8.3,0.05,37.5,0.99316,3.01,0.51,12.3,7,0,1
1080,10.3,0.27,0.56,1.4,0.047,3.0,0.99471,3.16,0.51,11.8,6,0,1
1081,7.9,0.3,0.68,8.3,0.05,37.5,0.99316,3.01,0.51,12.3,7,0,1
1082,7.2,0.38,0.3,1.8,0.073,31.0,0.99685,3.42,0.59,9.5,6,0,1
1083,8.7,0.42,0.45,2.4,0.072,32.0,0.99617,3.33,0.77,12.0,6,0,1
1084,7.2,0.38,0.3,1.8,0.073,31.0,0.99685,3.42,0.59,9.5,6,0,1
1085,6.8,0.48,0.08,1.8,0.074,40.0,0.99529,3.12,0.49,9.6,5,0,0
1086,8.5,0.34,0.4,4.7,0.055,3.0,0.99738,3.38,0.66,11.6,7,0,1
1087,7.9,0.19,0.42,1.6,0.057,18.0,0.994,3.29,0.69,11.2,6,0,1
1088,11.6,0.41,0.54,1.5,0.095,22.0,0.99735,3.02,0.76,9.9,7,0,1
1089,11.6,0.41,0.54,1.5,0.095,22.0,0.99735,3.02,0.76,9.9,7,0,1
1090,10.0,0.26,0.54,1.9,0.083,42.0,0.99451,2.98,0.63,11.8,8,0,1
1091,7.9,0.34,0.42,2.0,0.086,8.0,0.99546,3.35,0.6,11.4,6,0,1
1092,7.0,0.54,0.09,2.0,0.081,10.0,0.99479,3.43,0.59,11.5,6,0,1
